name,descriptions,rel_aesthetics,key_colors,brands
Pretty Preppy,"When it comes to this aesthetic the clothes are meant to symbolize wealth, femininity and power. The purpose here is to make everyone think ""Wow, that girl could ruin lives while wearing heels higher than my pay grade!"". It typically consists of plaid skirts, matching blazers, white shirts under sweaters or dresses with the collar sticking out and knee socks. Mary Jane and Oxford shoes are also seen a lot, and while hairstyles are varied, accessories are everywhere and headbands are a must. Even though sometimes people think that in order to follow the aesthetic you need to be rich or have lots of money, it is possible to be inspired by it on a budget and replicate (or create your own) looks without spending a lot.
,Visuals,[,],The visuals for Pretty Preppy are heavily influenced by fashion and clothing is the primary motif of this aesthetic. The overall look of this aesthetic is similar to ,High School Dream, but with a ,Bubblegum Bitch,/,Baddie, twist.
,Pinterest Boards,[,],2000 popular girl aesthetic, by Laura Ribeiro,
,FILM | mean girls - regina george, by aesthetic serendipity,
,popular girl aesthetic, by Marissa,
,rich girl aesthetic☁️, by ZAC!,
,[series] most popular girls in school, by coco_coffee,
,Mean Girls (aesthetic), by Carly ♥︎ Kendeigh,
,Mean girls aesthetic, by Keiram,Beyond the Clothing,[,]","Barbiecore,Boujee,Bubblegum Bitch,Common White Girl,High School Dream,Old Money,Preppy,Tweencore,VSCO,VSCO Preppy","Light and bright colors, a lot of pink, black and white","Chanel, Dior, Prada, Vivienne Westwood"
Pre-Raphaelite,,"Art Academia,Art Nouveau,Baroque,Christcore,Classicism,Hellenic,Rococo",,
Preppy,"For men, Preppy fashion has its roots in the Ivy League style of dress, which started around 1912 and became more established in the late 1950s. J. Press represented the quintessential Ivy League style, stemming from the collegiate traditions of Ivy League schools. In the mid-twentieth century J. Press and Brooks Brothers both had stores on Ivy League school campuses, including Harvard, Princeton, and Yale. Preppy fashion emerged in the late 1970s with cues from the original Ivy League style. Some typical Preppy styles also reflect traditional upper-class leisure activities, once associated with the wealthy English who once had a strong political and social position in the Northeast and New England, such as polo, sailing, hunting, fencing, crew rowing, lacrosse, golf, tennis, rugby, squash and swimming. This association with old English inspired outdoor activities can be seen in Preppy fashion, through stripes and colors, equestrian clothing, field jackets, and nautical-themed accessories. By the 1980s, mass marketing of brands such as Lacoste, Daniel Cremieux, Izod, and Dooney & Bourke became associated with Preppy style in many areas of the US and Canada.
,For women, Preppy-influenced fashions emerged in the 1960s, a trend led by designers such as Perry Ellis and Lilly Pulitzer, influenced by designers such as Oleg Cassini, and popularized by female students at the Seven Sisters Colleges, sister institutions to the Ivy League. These classic ensembles of the 1960s and 1970s include tailored skirt suits, low heels, wrap dresses, shift dresses, silk or cotton blouses, and jewelry with a refined style. Such clothing often includes elements drawn from typical Preppy style, such as nautical stripes, pastel colours, or equestrian details.
,Though traditional interest in Preppy style fell in the 1990s, some of the newer outfitters such as Ralph Lauren, J. Crew, Vineyard Vines, Gant, and Elizabeth McKay are perceived as having preppy styles, with designers such as Marc Jacobs and Luella Bartley adding the Preppy style into their clothes in the 1990s. The Preppy aesthetic fell out of popularity when the Financial Crisis of 2007–2008 made signifiers of wealth unpopular.
,Those who follow the Preppy aesthetic pride themselves on how timeless it is. In reality, the Preppy aesthetic goes in and out of fashion. Previously strict followers of the Prep aesthetic such as cousins Audrey Kelleher, Charles McBryde, and Jenna Sweeney, have moved towards a more ,Bohemian, aesthetic.
,Stores and Brands,[,],Barbour,
,Burberry,
,Brooks Brothers,
,CatherineCameo,
,Cartier,
,David Yurman,
,Draper James,
,Preppy iPhone Cases | Stella Cases,
,PreppyThings Inc,
,Hermes,
,Hillflint,
,Hunter,
,J. Crew,
,Jack Rogers,
,Kendra Scott,
,Kiel James Patrick,
,L.L. Bean,
,Lacoste,
,Lilly Pulitzer,
,Marc Jacobs,
,Murray's Toggery Shop - home of Nantucket Reds, pale red or salmon colored pants and shorts,
,Palm Beach Sandal Company (often abbreviated to ""Palms""),
,Pendleton,
,Ralph Lauren,
,Sperry,
,Tiffany & Co.,
,Vineyard Vines,Tops,[,],Oxford Cloth Button Down shirts,
,Polo shirts,
,Tory Burch tunic (women only),Bottoms,[,],Chinos,
,Nantucket Reds shorts or pants,
,Gray or black slack pants,
,Plaid skirts (women only),Dresses,[,],Lilly Pulitzer shift,
,Diane Von Furstenberg wrap dress,
,kaftans,Outerwear,[,],Cardigans,
,Aran aka Fisherman sweaters,
,Cable knit sweaters,
,Aquaberry sweaters,
,Blazers,
,Trench coat,
,Pea coats,
,Wax jackets (usually Barbour),
,J. Crew vest,Shoes,[,],Ballet flats (women only),
,L.L. Bean boots,
,Boat shoes (usually Sperry),
,Gucci Horsebit loafers,
,Hunter rain boots,
,Jack Rogers sandals (women only),
,Stubbs & Wootton slippers,
,White tennis shoes,
,Black dress shoes,Jewelry,[,],Cartier Love bracelet,
,David Yurman cable bracelet,
,Hermes Clic Clac,
,Kendra Scott necklace,
,Pearl or diamond stud earrings, one per ear (women only),
,Signet rings and class rings (men only),Accessories,[,],Neckties,
,Bowties,
,Sunglasses (tortoiseshell pattern or aviators),
,Burberry check scarf,
,Needlepoint belt,
,Longchamp Le Pliage in Navy,
,White, black or gray socks,
,Small bows (for women only),Outdated fashions,[,],Bermuda bags (tiny handbags with a wooden frame and interchangeable covers which could be matched to outfits),
,Charm bracelets,
,Return to Tiffany's bracelet,
,Popped collars on polo shirts,
,Romphims (rompers for men),Fabric patterns,[,],Argyle,
,Check/Gingham,
,Critters (crabs, lobsters, elephants, monkeys, crocodiles, horses, fish, seahorses),
,Plaid,
,Madras,
,Tartan,
,Stripe,
,Quatrefoil,Monograms,[,],Monograms are arranged with the first initial on the left, the last initial in the center and the middle initial on the right,
,Large monograms, especially in curly fonts, are popular in the South. EVERYTHING is monogramed.,Media,[,]","Nautical,Pijo,Pretty preppy,VSCO Preppy,Milipili",,"J. Crew, Lilly Pulitzer Lacoste, Ralph Lauren"
Prehistoricore,"Prehistoricore fashion is most commonly worn in the form of Halloween costumes based on caricatures of early man.
,Loincloths,
,Frizzy wigs,
,Bone hairpieces,
,Bone facial piercings,
,Tooth jewelry,
,Hide boots,
,Furs,
,Dull or warm colors,
,Animal print fabrics,
,Clothing made of plant material,Gallery,[,]","Junglecore,Paleocore,Stonepunk","Earth tones, warm colors, greens",
Post-Punk,,"Deathrock,Doomer,Goth,Punk,Shoegaze,Trad Goth,Dreamy,Dark Academia,Movida Madrileña,Woodland Goth",,
Prairiecore,"Tops,[,],Anything with ruffled sleeves,
,Blouses,
,Floral pattern,Bottoms,[,],High waist pants,
,Long skirts,
,Paperbag pants,Accessories,[,],Aprons,
,Bonnets,
,Earrings,
,Fans,
,Gloves,
,Handbags,
,Lockets,
,Parasols,
,Straw Hats,Dresses,[,],Midi dresses,
,Prairie dresses,Shoes,[,],Booties,
,Heeled mules,
,Lace up boots,Stores,[,],Christy Dawn,
,DÔEN,
,Free People,
,Gunne Sax (no longer in production),
,Laura Ashley,
,Meadows,
,Shabby Chic,Miscellaneous,[,],Calico,
,Denim,
,Plaid pattern,Media,[,]","Adventurecore,Americana,Bloomcore,Classic Lolita,Cottagecore,Craftcore,Naturecore","light brown, cool colors (especially green), white",
Post-Impressionism,,"Art Academia,Cubism,Expressionism, ,Impressionism,Modernism,Pointillism,Pont-Aven School",,
Pokemón,"Some common characteristics of Pokemón fashion are:
,Wide white/black t-shirts,
,Polo shirts,
,Long polo shirts with stripes or polka dots,
,Mini-skirts,
,Tank tops,
,Belts,
,Leather jackets,
,Converse sneakers,
,Skinny and decayed pants,
,Hip-Hop,-inspired fashion,
,Colorful makeup,
,Makeup featuring symbols or drawings,
,Black eyeliner,
,Decora,-inspired bracelets,
,Dyed black hair,
,Emo, and ,Anime,-inspired hairstyles (called ,Piñas,),
,Bright colored clothing,
,Glitter,Philosophy,[,]","Anime,Alternative,Cani,Emo,Flaite,Flogger,Hip-Hop,Jejemon,Midwest Emo,Punk,Raver,Reggaetonero,Scene,Shamate,Urbancore,Weeaboo","Black, red, fuchsia, green, orange, purple, blue",
Pont-Aven School,,"Cottagecore,Naturecore,Neo-Breton Style,Neo-Celtic,Post-Impressionism,Seiz Breur,Synthetism","Yellow, brown, blue, green, orange",
Post-Rock,,"Punk,Emo,Goth,New Wave","black, white, grey, brown, dark red",
Post-Apocalyptic,"Fashion in post-apocalyptic scenarios are based on what is needed for survival and what one can carry without too much effort. On the other hand, the aesthetic community focuses on how proper clothing can be styled. Fabrics can be light and breathable or heavy and warm depending on the season and the ability to have free movement is key. The most important element of post-apocalyptic fashion is protection from elements, especially if battle or inclimate weather is abundant.
,Key items include:
,Heavy boots such as New Rock Boots,
,Cargo pants,
,Long sleeves,
,Hoods,
,Dust/gas masks,
,Goggles,
,Loose fitting tops,
,Scarves,
,Gloves,
,Ponchos,
,Heavy coats,
,Leather, cotton, spandex,Fashion items include:
,Jean shorts,
,Crop tops,
,Vests,
,Harnesses,
,Belts,
,Tall socks,
,Makeshift armor,
,Bralettes,Media,[,]","Cyberpunk,Doomer,Dullcore,Plaguecore,Salvagepunk,Soft Apocalypse,Retro-Futurism,Zombie Apocalypse","Earth tones, greys, dull colors",
Pop Art,"Pop art did not start as a fashion movement, however that does not mean that pop art themed fashion does not exist. A notable piece of pop art fashion is ,The Souper Dress,, by Campbell Soup, inspired by Andy Warhol's art. A pop art themed outfit would aim o include key motifs of pop art: saturated colors, imagery of every day objects or celebrities, bold lines and even polka dot patterns. Pop art themed clothes are still produced today, and can often be found on sites such as ,Etsy, and ,Redbubble,.
,
,Gallery,[,]","Art Academia,Art Hoe,Avant-garde,Chicha,Figuration Narrative,Funky Seasons,Internet Awesomesauce,Memphis Design,Modernism,Neo-Pop,Nouveau Réalisme,LOLcore,Lowbrow,Superflat Pop,Yé-yé Girl","saturated colors, primary colors",
Pop Kei,"This style is mostly based around graphic tees as well as otherwise printed clothing with '80s pop impressions. It is very similar to ,Fairy Kei, but with the main difference being that it uses bright colors over pastels. The look is often unisex and can feature trousers, shorts and leggings rather than dresses and skirts. Very popular are thrifted and remade clothes featuring cartoon characters, polka-dots, and denim.
,Resources,[,]","Fairy Kei,Decora,Kidcore,Oshare Kei,Party Kei","Pink, turquoise, bright yellow, black, red, etc.",
Poolcore,,"Cleancore,Cybercore,Dreamy,Glowwave,Icepunk,Kidcore,Liminal Space,Lo-Fi,Minimalism,Mizuiro,Nostalgiacore,Ocean Grunge,Rainy Day,Reefwave,Seapunk,Summer,Tropical,Vacation Dadcore,Vaporwave,Weirdcore,Y2K,Dreamcore","Shades of blue, white and teal",
Plaguecore,"The following list is an amalgamation of fashion inspired from the 17th century renaissance period, and various other aesthetics, such as Dark Academia. It looks at original plague doctor uniform through a modern lens.
, 	, 	, 	, 		 			, 		 		 		 			,@Littleadventuresofdrypestis on tumblr, 		 	, , 	, 	, 	, 		 			, 		 		 		 			,@Drbarty on tumblr, 		 	, ,Accessories,[,],Wide brim hats such as sunhats, fedoras, gouchos, or boleros,
,Hats, pins, or headbands that incorporate veils,
,Other accessories such as bonnets and ruffle headbands,
,Gloves (leather, medical, lace, etc),
,Collar pins and brooches,
,Dark glasses, or a mask (medical or decorative),
,A cane or staff,
,Black nail polish,Torso,[,],Layers: suits, blazers, buttoned jackets, sweaters, turtlenecks, and occasionally corsets,
,Long, shapeless silhouettes,
,Cardigans, dresses, coats, cloaks, and robes (typically knee-length or longer),
,Gothic or otherwise macabre graphics and complimentary accessories,Legs,[,],Jeans, trousers, and overalls, usually cuffed or tucked into shoe,
,Eye-catching belts, chains, sash, and/or lanyard,Shoes,[,],Boots (usually Doc Martens, although sometimes just simple rubber boots),
,Buckled shoes (e.g. Mary Janes) or low heels,
,The attire usually consists of colours like muted brown, black, grey, white, and occasionally a vibrant contrasting colour like yellow or red. One can often find flowing and/or textured fabrics like leather, corduroy, lace, and mesh trims.,The community strives for comfort and inclusion, and therefore this list is not intended to set a “rule” or “standard” for plaguecore fashion. This list is rather a compilation of common themes and elements one may incorporate into their wardrobe if it is of interest.
,Visuals,[,]","Crowcore,Dark Academia,Green Academia,Goth,Medicalcore,Steampunk,Vulture Culture","Black, white, grey, silver, gold",
Pixel Cutie,"Clothing that fits the Pixel Cutie aesthetic can include:
,Brightly colored t-shirts,
,Tie-dye,
,Tees with art from video games,
,Light colored jeans/jean shorts,
,Bright colored sneakers,
,Light-colored hair-ties, scrunchies, or bracelets on wrists,
,Anything related to art or gaming,In a lot of ways, Pixel Cutie fashion can cross into the sorts of fashions often associated with something like ,Vaporwave, and ,Seapunk, (although with less sarcasm and cynicism that is often associated with Vaporwave and less of an aquatic vibe that is often associated with Seapunk).
,Media,[,]","Hyperpop,Kawaii,Lo-Fi,Pastel,Seapunk,Synthwave","Usually light, soft, and fun colors ",
Poetcore,"Poetcore is based primarily on comfort above all else. Typically, outfits will include a mixture of light and dark themes; lace and leather, pearls and chains, etc.
,Tops,[,],Oversized sweaters (wool, knit, etc),
,Baggy hoodies,
,Crop tops,
,Sweater dresses,
,Plaid shirts,
,Vintage graphic t-shirts,
,Soft long sleeve shirts,
,Turtlenecks,
,Satin tops,
,Anything with lace,
,Layered clothes (ex. long sleeve with a t-shirt),Outerwear,[,],Leather jackets,
,Oversized denim jackets,
,Blazers,
,Trenchcoats,Pants,[,],Cuffed and/or ripped jeans,
,Skirts,
,Fishnet leggings,
,Tweed pants,
,Overalls,
,Shorts,
,Anything with paint on it,
,Cargo pants,Shoes,[,],Vans,
,Doc Martens,
,Converse,
,Biker boots,Accessories,[,],Handmade earrings featuring weird trinkets, toys, etc,
,Pins and patches that show feelings that inspire you and make you proud of who you are,
,Silver friendship necklaces and handmade, threaded bracelets,
,Antique lockets,
,Rose-coloured shades,
,Knee or thigh high socks,
,Embroidered or hand painted designs on clothes,
,Beaten up sneakers or comfy biker boots paired with fishnets and/or comfortable patterned socks,
,Opting for no makeup or a more natural look,
,Chain necklaces,
,Black or red lipstick/nail polish,
,Pens tucked behind one ear/in your hair,
,Crystal jewelry,
,Handmade/sentimental jewelry,
,Bandanas,Outfit Ideas,[,],White lace dress, leather boots, leather jacket, fishnets, chains, bandana,
,Lace top, ripped jeans, fishnets, leather jacket, dainty jewelry,Media,[,]","Coffee House/Cafe,Indie,Romantic Academia,Writer Academia,Grunge,Witchcore,Witchy Academia,Cottagecore","Red, brown, beige, soft cream, muted pinks, navy blue, champagne",
